epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.15126,2.07256,3.38854,1.47272,0.04053,0.45833,0.10379,0.04631,1.67951,3.1736,1.06834,0.00022,0.00022,0.00022
2,9.16465,1.46768,1.56258,1.0665,0.57808,0.28373,0.28853,0.16891,1.53742,2.49771,1.0712,0.00044482,0.00044482,0.00044482
3,11.7729,1.37268,1.21491,1.03477,0.9717,0.13626,0.39553,0.24321,1.488,2.25353,1.04891,0.0006538,0.0006538,0.0006538
4,14.4525,1.35983,1.08332,1.03336,0.93336,0.13895,0.35868,0.2236,1.50061,2.28531,1.01096,0.00084694,0.00084694,0.00084694
5,17.0903,1.37367,1.07073,1.03842,0.91096,0.33135,0.52607,0.31516,1.493,1.92673,1.00476,0.00102424,0.00102424,0.00102424
6,19.8742,1.3281,1.01879,1.0341,0.82187,0.34786,0.53471,0.31299,1.42627,1.7871,0.97877,0.0011857,0.0011857,0.0011857
7,22.3977,1.36521,0.99353,1.01706,0.64742,0.4246,0.47119,0.26946,1.49473,1.57083,0.99579,0.00133132,0.00133132,0.00133132
8,24.7614,1.31155,1.00794,1.02425,0.70872,0.43849,0.51058,0.30356,1.48601,1.50837,1.03883,0.0014611,0.0014611,0.0014611
9,27.3359,1.29241,0.94465,1.00728,0.73624,0.55159,0.63289,0.37957,1.37947,1.17809,0.99052,0.001472,0.001472,0.001472
10,29.8123,1.32219,0.96084,1.02013,0.7841,0.56207,0.65946,0.40366,1.33599,1.23027,0.97051,0.001406,0.001406,0.001406
11,32.3363,1.29769,0.93675,0.99808,0.73648,0.56007,0.64206,0.38502,1.39102,1.04071,1.01243,0.00134,0.00134,0.00134
12,34.9378,1.26417,0.87206,0.99389,0.79951,0.59343,0.67482,0.41612,1.34147,0.87246,0.99928,0.001274,0.001274,0.001274
13,37.5544,1.22841,0.84601,0.99173,0.78169,0.6369,0.69902,0.42193,1.34902,0.86942,0.97716,0.001208,0.001208,0.001208
14,40.079,1.1859,0.84259,0.97072,0.82347,0.61086,0.70082,0.4265,1.31024,0.88373,0.97143,0.001142,0.001142,0.001142
15,42.5368,1.19578,0.83414,0.98307,0.7772,0.61706,0.6777,0.42094,1.31709,0.8661,0.97052,0.001076,0.001076,0.001076
16,45.0507,1.21313,0.84041,0.96683,0.77532,0.625,0.68266,0.41422,1.34907,0.83568,0.98789,0.00101,0.00101,0.00101
17,47.6608,1.20664,0.82775,0.9759,0.77736,0.62897,0.70215,0.42463,1.30769,0.84452,0.97127,0.000944,0.000944,0.000944
18,50.4729,1.20948,0.82258,0.97646,0.79113,0.60872,0.69812,0.41725,1.33543,0.84476,0.97958,0.000878,0.000878,0.000878
19,53.076,1.18283,0.7786,0.95872,0.81425,0.58532,0.66252,0.39347,1.35567,0.8016,1.00004,0.000812,0.000812,0.000812
20,55.6615,1.14766,0.76033,0.95799,0.80362,0.63332,0.70928,0.4222,1.3027,0.75299,0.97469,0.000746,0.000746,0.000746
21,60.8012,1.11816,0.85492,0.95165,0.77729,0.61508,0.69798,0.4288,1.27638,0.84518,0.9623,0.00068,0.00068,0.00068
22,63.7389,1.07042,0.77399,0.93826,0.79114,0.60913,0.68257,0.42278,1.28333,0.8803,0.96511,0.000614,0.000614,0.000614
23,66.3758,1.07912,0.77459,0.93414,0.80146,0.62474,0.69285,0.43457,1.25312,0.84782,0.95319,0.000548,0.000548,0.000548
24,68.8843,1.07398,0.75182,0.92826,0.83,0.61997,0.70028,0.45096,1.22766,0.75172,0.95086,0.000482,0.000482,0.000482
25,71.3402,1.07436,0.7238,0.93727,0.80535,0.625,0.7,0.4377,1.26545,0.78564,0.96709,0.000416,0.000416,0.000416
26,73.6901,1.0815,0.74634,0.94218,0.80344,0.60827,0.69164,0.43166,1.25847,0.78295,0.97089,0.00035,0.00035,0.00035
27,76.2905,1.0761,0.71257,0.93884,0.81305,0.63294,0.70598,0.44931,1.22498,0.74376,0.96272,0.000284,0.000284,0.000284
28,78.8677,1.05931,0.71158,0.93141,0.83324,0.63449,0.72176,0.44691,1.24819,0.71999,0.96353,0.000218,0.000218,0.000218
29,81.2913,1.04295,0.68722,0.92827,0.84331,0.61905,0.72111,0.45561,1.2401,0.70801,0.96201,0.000152,0.000152,0.000152
30,84.0755,1.02417,0.67577,0.92063,0.85407,0.62708,0.72102,0.45719,1.24301,0.70961,0.96373,8.6e-05,8.6e-05,8.6e-05
